1                                               2                                               3                                               4                                               5                                               Radius 
Fe                   : -4.5001879461        	 Mg2SiO4              : -4.7298715008        	 SiO                  : -4.9398796483        	 Ni                   : -5.7813008161        	 MgAl2O4              : -5.851032105         0.1322799576451458 AU
Fe                   : -4.5001589383        	 Mg2SiO4              : -4.7092348832        	 SiO                  : -5.0274336959        	 Ni                   : -5.7810890879        	 CaAl2Si2O8           : -5.9207791571        0.13518286046132144 AU
Fe                   : -4.5001342711        	 Mg2SiO4              : -4.7056500339        	 SiO                  : -5.0445483841        	 Ni                   : -5.7809109179        	 CaAl2Si2O8           : -5.8510312872        0.13814946817958854 AU
Fe                   : -4.5001133161        	 Mg2SiO4              : -4.7055637851        	 SiO                  : -5.0444032814        	 Ni                   : -5.7807611321        	 CaAl2Si2O8           : -5.8510309635        0.1411811785211023 AU
Fe                   : -4.500095533         	 Mg2SiO4              : -4.705498276         	 SiO                  : -5.0442657675        	 Ni                   : -5.7806353322        	 CaAl2Si2O8           : -5.8510307196        0.1442794199666249 AU
Fe                   : -4.5000804571        	 Mg2SiO4              : -4.7097605792        	 SiO                  : -5.0731584946        	 Ni                   : -5.7805297824        	 CaAl2Si2O8           : -5.851030558         0.14744565324822761 AU
Fe                   : -4.5000676899        	 Mg2SiO4              : -4.7097225065        	 SiO                  : -5.0730347172        	 Ni                   : -5.7804413123        	 CaAl2Si2O8           : -5.851030431         0.1506813696688955 AU
Fe                   : -4.5000568891        	 Mg2SiO4              : -4.7096937602        	 SiO                  : -5.0729235082        	 Ni                   : -5.780367234         	 CaAl2Si2O8           : -5.8510303323        0.15398809415449646 AU
Fe                   : -4.5000477615        	 Mg2SiO4              : -4.7096720963        	 SiO                  : -5.0728247065        	 Ni                   : -5.7803052702        	 CaAl2Si2O8           : -5.8510302555        0.15736738521967933 AU
Fe                   : -4.5000400561        	 Mg2SiO4              : -4.7096557998        	 SiO                  : -5.072737741         	 Ni                   : -5.7802534938        	 CaAl2Si2O8           : -5.851030196         0.16082083571567954 AU
Fe                   : -4.5000335582        	 Mg2SiO4              : -4.7096435625        	 SiO                  : -5.0726617928        	 Ni                   : -5.7802102754        	 CaAl2Si2O8           : -5.8510301499        0.16435007220696535 AU
Fe                   : -4.5000280846        	 Mg2SiO4              : -4.7096343893        	 SiO                  : -5.0725959113        	 Ni                   : -5.7801742388        	 CaAl2Si2O8           : -5.8510301143        0.16795675889051048 AU
Fe                   : -4.5000234786        	 Mg2SiO4              : -4.7120262304        	 SiO                  : -5.0670570696        	 Ni                   : -5.7801442226        	 CaAl2Si2O8           : -5.8510300869        0.17164259425011394 AU
Fe                   : -4.5000196071        	 Mg2SiO4              : -4.7120297661        	 SiO                  : -5.0669892366        	 Ni                   : -5.780119248         	 CaAl2Si2O8           : -5.8510300657        0.17540931605940266 AU
Fe                   : -4.5000163565        	 Mg2SiO4              : -4.7120325781        	 SiO                  : -5.0669523014        	 Ni                   : -5.7800984907        	 CaAl2Si2O8           : -5.8510300493        0.17925869938510047 AU
Fe                   : -4.5000136302        	 Mg2SiO4              : -4.7120348067        	 SiO                  : -5.0669057894        	 Ni                   : -5.7800812574        	 CaAl2Si2O8           : -5.8510300367        0.183192557300236 AU
Fe                   : -4.5000113461        	 Mg2SiO4              : -4.7120365671        	 SiO                  : -5.0668673351        	 Ni                   : -5.7800669655        	 CaAl2Si2O8           : -5.851030027         0.18721274487221318 AU
Fe                   : -4.5000094346        	 Mg2SiO4              : -4.7120379533        	 SiO                  : -5.0668355735        	 Ni                   : -5.7800551262        	 CaAl2Si2O8           : -5.8510300196        0.19132115586453516 AU
Fe                   : -4.5000078368        	 Mg2SiO4              : -4.7120390416        	 SiO                  : -5.0668093646        	 Ni                   : -5.7800453294        	 CaAl2Si2O8           : -5.8510300139        0.1955197267924406 AU
Fe                   : -4.5000065026        	 Mg2SiO4              : -4.7120398938        	 SiO                  : -5.0667877575        	 Ni                   : -5.7800372318        	 CaAl2Si2O8           : -5.8510300096        0.19981043563619677 AU
Fe                   : -4.5000053888        	 MgSiO3               : -4.7657387233        	 Mg2SiO4              : -4.9652872008        	 Ni                   : -5.7800305464        	 CaAl2Si2O8           : -5.8510300065        0.2041953050534328 AU
Fe                   : -4.5000044617        	 MgSiO3               : -4.7657187554        	 Mg2SiO4              : -4.9653041843        	 Ni                   : -5.7800250329        	 CaAl2Si2O8           : -5.8510300041        0.2086764003872218 AU
Fe                   : -4.5000036902        	 MgSiO3               : -4.7657037508        	 Mg2SiO4              : -4.9653169109        	 Ni                   : -5.7800204913        	 CaAl2Si2O8           : -5.8510300022        0.21325583488415947 AU
Fe                   : -4.5000030489        	 MgSiO3               : -4.7656924784        	 Mg2SiO4              : -4.9653264454        	 Ni                   : -5.7800167544        	 CaAl2Si2O8           : -5.8510300008        0.21793576511895024 AU
Fe                   : -4.5000025164        	 MgSiO3               : -4.7766235705        	 Mg2SiO4              : -4.9576261655        	 Ni                   : -5.7800136835        	 CaAl2Si2O8           : -5.8631510651        0.22271839766968843 AU
Fe                   : -4.5000020748        	 MgSiO3               : -4.8092761772        	 Mg2SiO4              : -4.9364604563        	 Ni                   : -5.7800111634        	 CaAl2Si2O8           : -5.8995414333        0.22760598496671589 AU
Fe                   : -4.5000017089        	 MgSiO3               : -4.8395749078        	 Mg2SiO4              : -4.9189882988        	 Ni                   : -5.7800090969        	 CaAl2Si2O8           : -5.9336004185        0.23260083170529597 AU
Fe                   : -4.5000014061        	 MgSiO3               : -4.8675314269        	 Mg2SiO4              : -4.9044580106        	 Ni                   : -5.7800074044        	 CaMgSi2O6            : -5.9568030556        0.23770529118537373 AU
Fe                   : -4.5000011559        	 Mg2SiO4              : -4.8923018714        	 MgSiO3               : -4.89318555          	 Ni                   : -5.7800060197        	 CaMgSi2O6            : -5.9298393836        0.24292176840055257 AU
Fe                   : -4.5000009492        	 Mg2SiO4              : -4.8820819883        	 MgSiO3               : -4.9166028112        	 Ni                   : -5.7800048884        	 CaMgSi2O6            : -5.9078530775        0.2482527219511144 AU
Fe                   : -4.5000007788        	 Mg2SiO4              : -4.8734547195        	 MgSiO3               : -4.9378712221        	 Ni                   : -5.780003965         	 CaMgSi2O6            : -5.8897414179        0.2537006645176158 AU
Fe                   : -4.5000006384        	 Mg2SiO4              : -4.8661465212        	 MgSiO3               : -4.9570973542        	 Ni                   : -5.7800032122        	 CaMgSi2O6            : -5.8747000537        0.2592681624193657 AU
Fe                   : -4.5000005229        	 Mg2SiO4              : -4.8599370629        	 MgSiO3               : -4.9744020509        	 Ni                   : -5.7800025993        	 CaMgSi2O6            : -5.8621258435        0.2649578399726253 AU
Fe                   : -4.5000004279        	 Mg2SiO4              : -4.8546471195        	 MgSiO3               : -4.9899160664        	 Ni                   : -5.7800021009        	 CaMgSi2O6            : -5.8515563529        0.270772378366383 AU
Fe                   : -4.5000003499        	 Mg2SiO4              : -4.8499670136        	 MgSiO3               : -5.0043558515        	 Ni                   : -5.780001696         	 CaMgSi2O6            : -5.8418307589        0.276714517706202 AU
Fe                   : -4.5000002859        	 Mg2SiO4              : -4.8453083189        	 MgSiO3               : -5.0196695729        	 Ni                   : -5.7800013675        	 CaMgSi2O6            : -5.8304233708        0.2827870583110322 AU
Fe                   : -4.5000002335        	 Mg2SiO4              : -4.841293817         	 MgSiO3               : -5.033461363         	 Ni                   : -5.7800011014        	 CaMgSi2O6            : -5.8206776679        0.2889928620384115 AU
Fe                   : -4.5000001905        	 Mg2SiO4              : -4.8378513638        	 MgSiO3               : -5.045752287         	 Ni                   : -5.780000886         	 CaMgSi2O6            : -5.81242913          0.2953348526759691 AU
Fe                   : -4.5000001554        	 Mg2SiO4              : -4.8349549125        	 MgSiO3               : -5.0564220805        	 Ni                   : -5.7800007119        	 CaMgSi2O6            : -5.8057095812        0.301816019171176 AU
Fe                   : -4.5000001268        	 Mg2SiO4              : -4.8325314626        	 MgSiO3               : -5.065578988         	 Ni                   : -5.7800005714        	 CaMgSi2O6            : -5.8003120261        0.3084394151413683 AU
Fe                   : -4.5000001033        	 Mg2SiO4              : -4.8305189175        	 MgSiO3               : -5.0733335218        	 Ni                   : -5.780000458         	 CaMgSi2O6            : -5.7960654338        0.31520816331167967 AU
Fe                   : -4.5000000842        	 Mg2SiO4              : -4.8288641902        	 MgSiO3               : -5.0797965033        	 Ni                   : -5.7800003667        	 CaMgSi2O6            : -5.7928268601        0.3221254529785437 AU
Fe                   : -4.5000000687        	 Mg2SiO4              : -4.8275216464        	 MgSiO3               : -5.0850775273        	 Ni                   : -5.7800002932        	 CaMgSi2O6            : -5.7904754074        0.3291945434357468 AU
Fe                   : -4.500000056         	 Mg2SiO4              : -4.8264517808        	 MgSiO3               : -5.0892839894        	 Ni                   : -5.7800002342        	 CaMgSi2O6            : -5.7889073426        0.3364187655074949 AU
Fe                   : -4.5000000457        	 Mg2SiO4              : -4.8256200955        	 MgSiO3               : -5.0925205357        	 Ni                   : -5.7800001869        	 CaMgSi2O6            : -5.7880321265        0.34380152427862 AU
Fe                   : -4.5000000373        	 Mg2SiO4              : -4.8249962233        	 MgSiO3               : -5.0948884866        	 Ni                   : -5.7800001489        	 CaMgSi2O6            : -5.7877694866        0.3513462984623616 AU
Fe                   : -4.5000000305        	 Mg2SiO4              : -4.8233486386        	 MgSiO3               : -5.1010227358        	 Ni                   : -5.7800001185        	 CaMgSi2O6            : -5.7880402039        0.3590566443369485 AU
