1                                               2                                               3                                               4                                               5                                               Radius 
Fe                   : -4.5001746841        	 Mg2SiO4              : -4.7297994236        	 SiO                  : -4.9398279063        	 Ni                   : -5.7812121237        	 MgAl2O4              : -5.8510320045        0.1322799576451458 AU
Fe                   : -4.5001511789        	 Mg2SiO4              : -4.7057265267        	 SiO                  : -5.0446522506        	 Ni                   : -5.7810377469        	 CaAl2Si2O8           : -5.8510316277        0.13965709653932745 AU
Fe                   : -4.5001307034        	 Mg2SiO4              : -4.7056347208        	 SiO                  : -5.0445247865        	 Ni                   : -5.7808875609        	 CaAl2Si2O8           : -5.851031251         0.14744565283892225 AU
Fe                   : -4.5001128849        	 Mg2SiO4              : -4.7055621132        	 SiO                  : -5.04440009          	 Ni                   : -5.7807583386        	 CaAl2Si2O8           : -5.8510309596        0.15566857018108887 AU
Fe                   : -4.5000973947        	 Mg2SiO4              : -4.7055047889        	 SiO                  : -5.0442808638        	 Ni                   : -5.7806472659        	 CaAl2Si2O8           : -5.8510307346        0.16435007191837675 AU
Fe                   : -4.5000839426        	 Mg2SiO4              : -4.7097717259        	 SiO                  : -5.0731909967        	 Ni                   : -5.7805518909        	 CaAl2Si2O8           : -5.8510305797        0.173515734917432 AU
Fe                   : -4.5000722729        	 Mg2SiO4              : -4.7097357034        	 SiO                  : -5.073080253         	 Ni                   : -5.7804700793        	 CaAl2Si2O8           : -5.8510304573        0.1831925581326404 AU
Fe                   : -4.5000621601        	 Mg2SiO4              : -4.7097074128        	 SiO                  : -5.0729787508        	 Ni                   : -5.7803999754        	 CaAl2Si2O8           : -5.8510303601        0.1934090488071649 AU
Fe                   : -4.5000534059        	 Mg2SiO4              : -4.7096852337        	 SiO                  : -5.0728865933        	 Ni                   : -5.7803399666        	 CaAl2Si2O8           : -5.8510302829        0.20419530444167378 AU
Fe                   : -4.5000458357        	 Mg2SiO4              : -4.7096678765        	 SiO                  : -5.0728035869        	 Ni                   : -5.7802886536        	 CaAl2Si2O8           : -5.8510302217        0.21558310157285077 AU
Fe                   : -4.5000392966        	 Mg2SiO4              : -4.7096543169        	 SiO                  : -5.0727293358        	 Ni                   : -5.7802448232        	 CaAl2Si2O8           : -5.8510301733        0.22760598470940033 AU
